UID,Lvl1,Lvl2,Lvl3,Lvl4,Hospitalization,Critical Care,Crit of Hosp,CFR,CFR of Crit,CFR of Hosp,Population,Code
1,Sub-Saharan Africa,Malawi,Lilongwe City,Lilongwe City,0.024429457,0.002627015,0.107534709,0.0015188,0.578146781,0.062170846,1055723,MW210
2,Sub-Saharan Africa,Malawi,Balaka,Balaka Town,0.025207655,0.003198241,0.126875788,0.001863047,0.582522435,0.073907993,34766,MW31220
3,Sub-Saharan Africa,Malawi,Blantyre City,Blantyre City,0.025412272,0.00295105,0.116126961,0.001712548,0.580318353,0.067390607,979024,MW315
4,Sub-Saharan Africa,Malawi,Zomba City,Zomba City,0.025676755,0.00299822,0.116767878,0.001740941,0.580658173,0.067802223,134297,MW314
5,Sub-Saharan Africa,Malawi,Mzuzu City,Mzuzu City,0.025457624,0.003044099,0.11957513,0.001769554,0.581306517,0.069509802,203815,MW107
6,Sub-Saharan Africa,Malawi,Chikwawa,Chikwawa Boma,0.028197703,0.004142096,0.146894786,0.002427121,0.585964624,0.086075148,10806,MW31020
7,Sub-Saharan Africa,Malawi,Chikwawa,TA Lundu,0.026010053,0.003541496,0.136158743,0.00207188,0.585029553,0.079656888,69743,MW31002
8,Sub-Saharan Africa,Malawi,Chiradzulu,Chiradzulu Boma,0.028366069,0.004096774,0.144425161,0.002402498,0.586436557,0.084696194,3806,MW30420
9,Sub-Saharan Africa,Malawi,Chitipa,Chitipa Boma,0.025908762,0.003425578,0.132216987,0.0020027,0.584631256,0.077298183,21215,MW10120
10,Sub-Saharan Africa,Malawi,Dedza,Dedza Boma,0.025554122,0.00319719,0.125114468,0.00186077,0.582001693,0.072816832,30623,MW20820
11,Sub-Saharan Africa,Malawi,Dowa,Dowa Boma,0.02753217,0.003453388,0.125431016,0.002013652,0.58309455,0.073138142,7260,MW20420
12,Sub-Saharan Africa,Malawi,Karonga,Karonga Town,0.026337927,0.003626578,0.137694133,0.002121222,0.584910021,0.080538679,61246,MW10220
13,Sub-Saharan Africa,Malawi,Kasungu,Kasungu Boma,0.024337827,0.00267285,0.109822891,0.001548467,0.579331716,0.063623884,59620,MW20120
14,Sub-Saharan Africa,Malawi,Kasungu,TA Kawamba/Kasungu National Park,0.027575974,0.004438445,0.160953354,0.002611823,0.588454449,0.094713717,68484,MW20107
15,Sub-Saharan Africa,Malawi,Mangochi,TA Nankumba/Lake Malawi National Park,0.031460841,0.006101998,0.193955324,0.0036058,0.590921303,0.114612333,3883,MW30111
16,Sub-Saharan Africa,Malawi,Chikwawa,STA Ndakwela/Lengwe National Park,0,0,0,0,0,0,1,MW31008
17,Sub-Saharan Africa,Malawi,Likoma,Likoma Boma,0,0,0,0,0,0,1,MW10620
18,Sub-Saharan Africa,Malawi,Machinga,TA Liwonde/Liwonde National Park,0.029788057,0.005656799,0.189901585,0.003341713,0.590742669,0.112182969,118229,MW30213
19,Sub-Saharan Africa,Malawi,Machinga,Liwonde Town,0.025089829,0.003251134,0.129579777,0.001896811,0.583430632,0.075600811,34828,MW30222
20,Sub-Saharan Africa,Malawi,Thyolo,Luchenza Town,0.028966714,0.004640879,0.160214204,0.002726282,0.58744945,0.094117746,16779,MW30721
21,Sub-Saharan Africa,Malawi,Machinga,Machinga Boma,0,0,0,0,0,0,1,MW30220
22,Sub-Saharan Africa,Malawi,Chikwawa,TA Kasisi/Majete Game Reserve Chikwawa,0.030391001,0.005421709,0.178398488,0.003197624,0.589781546,0.105216136,47558,MW31006
23,Sub-Saharan Africa,Malawi,Mangochi,Mangochi Town,0.023824522,0.002979074,0.125042329,0.001734103,0.582094537,0.072786457,58764,MW30120
24,Sub-Saharan Africa,Malawi,Mchinji,Mchinji Boma,0.024753552,0.002809883,0.113514334,0.001629915,0.580065057,0.065845699,26808,MW20720
25,Sub-Saharan Africa,Malawi,Mangochi,Monkey Bay Urban,0.025204315,0.003073624,0.121948317,0.001787332,0.58150647,0.070913735,19823,MW30121
26,Sub-Saharan Africa,Malawi,Mulanje,Mulanje Boma,0.027117744,0.003654451,0.134762368,0.00213529,0.584298249,0.078741416,22847,MW30820
27,Sub-Saharan Africa,Malawi,Mulanje,TA Nkanda/Mulanje Mountain Reserve,0.031985162,0.006283263,0.196443057,0.00371162,0.590715412,0.116041941,138470,MW30805
28,Sub-Saharan Africa,Malawi,Nsanje,Mwabvi Game Reserve,0.029454993,0.005694352,0.19332384,0.003367163,0.591316262,0.11431553,8422,MW31110
29,Sub-Saharan Africa,Malawi,Mwanza,Mwanza Boma,0.024208977,0.002678434,0.110638047,0.001550537,0.578896905,0.064048023,21691,MW30620
30,Sub-Saharan Africa,Malawi,Mzimba,Mzimba Boma,0.026597523,0.003611249,0.135773884,0.002110497,0.58442309,0.079349393,31467,MW10520
31,Sub-Saharan Africa,Malawi,Neno,Neno Boma,0,0,0,0,0,0,1,MW31320
32,Sub-Saharan Africa,Malawi,Nkhata Bay,Nkhatabay Boma,0,0,0,0,0,0,1,MW10320
33,Sub-Saharan Africa,Malawi,Nkhotakota,Nkhotakota Boma,0.028912873,0.004707036,0.16280071,0.002766653,0.587769599,0.095689308,37379,MW20220
34,Sub-Saharan Africa,Malawi,Nkhotakota,Nkhotakota Game Reserve,0.027066787,0.004733794,0.1748931,0.00279406,0.590236934,0.103228367,4762,MW20207
35,Sub-Saharan Africa,Malawi,Nsanje,Nsanje Boma,0.029217975,0.005034963,0.172324157,0.002965753,0.589031658,0.101504384,30549,MW31120
36,Sub-Saharan Africa,Malawi,Ntcheu,Ntcheu Boma,0.024788262,0.002860881,0.115412718,0.001659509,0.580069383,0.066947384,22268,MW20920
37,Sub-Saharan Africa,Malawi,Ntchisi,Ntchisi Boma,0.025996681,0.00319074,0.122736431,0.001857246,0.58207384,0.071441666,11814,MW20320
38,Sub-Saharan Africa,Malawi,Phalombe,Phalombe Boma,0,0,0,0,0,0,1,MW30920
39,Sub-Saharan Africa,Malawi,Rumphi,Rumphi Boma,0.026403196,0.003545396,0.134279051,0.002071861,0.584380575,0.078470069,27139,MW10420
40,Sub-Saharan Africa,Malawi,Salima,Salima Town,0.025802371,0.003348224,0.129764185,0.001950394,0.582516011,0.075589715,41183,MW20520
41,Sub-Saharan Africa,Malawi,Dowa,TA Chakhaza,0.030510628,0.005354637,0.175500731,0.003158381,0.589840396,0.103517421,184981,MW20402
42,Sub-Saharan Africa,Malawi,Machinga,TA Chamba,0.029855155,0.005639517,0.188895918,0.00332995,0.590467183,0.111536841,33978,MW30204
43,Sub-Saharan Africa,Malawi,Ntcheu,TA Champiti,0.032078078,0.006117481,0.190705967,0.003611447,0.590348778,0.112583035,24610,MW20905
44,Sub-Saharan Africa,Malawi,Rumphi,STA Chapinduka,0.030865661,0.005995899,0.194257929,0.003546964,0.591564941,0.11491618,3749,MW10406
45,Sub-Saharan Africa,Malawi,Dedza,TA Chauma,0.033755898,0.006893405,0.204213334,0.004080143,0.591890884,0.120872011,31902,MW20805
46,Sub-Saharan Africa,Malawi,Machinga,TA Chikweo,0.027531512,0.005131276,0.186378269,0.00303016,0.590527719,0.110061534,83265,MW30207
47,Sub-Saharan Africa,Malawi,Dedza,TA Chilikumwendo,0.031636504,0.006132899,0.193855133,0.00362406,0.590921148,0.114553098,92925,MW20802
48,Sub-Saharan Africa,Malawi,Ntchisi,TA Chilooko,0.029455187,0.005213993,0.177014407,0.003075032,0.589765412,0.104396974,95273,MW20305
49,Sub-Saharan Africa,Malawi,Kasungu,TA Chilowamatambe,0.028860114,0.004676413,0.162037231,0.002752673,0.588629089,0.095379828,58040,MW20109
50,Sub-Saharan Africa,Malawi,Kasungu,STA Chisikwa,0.033623346,0.006667604,0.198302816,0.003943391,0.59142555,0.117281352,9582,MW20104
51,Sub-Saharan Africa,Malawi,Lilongwe,STA Chitekwele,0.032308204,0.006481356,0.200610217,0.003835308,0.591744677,0.118710028,57954,MW20605
52,Sub-Saharan Africa,Malawi,Machinga,TA Chiwalo,0.028963202,0.005413235,0.186900437,0.00319524,0.590264371,0.110320669,29726,MW30209
53,Sub-Saharan Africa,Malawi,Mangochi,TA Chowe,0.02961823,0.005839057,0.197144035,0.003452596,0.591293338,0.116569954,167100,MW30106
54,Sub-Saharan Africa,Malawi,Mchinji,TA Dambe,0.027603106,0.00450171,0.163087077,0.002650717,0.58882453,0.096029672,81940,MW20706
55,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Fukamalaza,0.032638987,0.006938123,0.212571637,0.004110751,0.592487445,0.125946026,7426,MW10307
56,Sub-Saharan Africa,Malawi,Ntcheu,TA Goodson Ganya,0.030892545,0.005723184,0.185261,0.003377449,0.590134576,0.109328922,160435,MW20908
57,Sub-Saharan Africa,Malawi,Mzimba,TA Jaravikuba Munthali,0.032329187,0.006242876,0.19310341,0.003689794,0.59104073,0.11413198,22405,MW10504
