adm_id,name,country,level,adm2,adm1,city,adm_area,day_n1,date_n1,day_n2,date_n2,day_n5,date_n5,day_n10,date_n10,day_n25,date_n25,day_n50,date_n50,day_n100,date_n100,day_n250,date_n250,day_n1000,date_n1000
20124,TA Kapelula,mw,3,Kasungu,Central,,187.3852266168604,34.0,2020-04-06,36.0,2020-04-08,39.0,2020-04-11,42.0,2020-04-14,45.0,2020-04-17,48.0,2020-04-20,51.0,2020-04-23,55.0,2020-04-27,63.0,2020-05-05
20125,STA Kapichira,mw,3,Kasungu,Central,,49.08387915728913,39.0,2020-04-11,42.0,2020-04-14,45.0,2020-04-17,48.0,2020-04-20,52.0,2020-04-24,55.0,2020-04-27,59.0,2020-05-01,64.0,2020-05-06,74.0,2020-05-16
20126,STA Mdunga,mw,3,Kasungu,Central,,107.07048402867485,37.0,2020-04-09,40.0,2020-04-12,43.0,2020-04-15,46.0,2020-04-18,50.0,2020-04-22,53.0,2020-04-25,56.0,2020-04-28,61.0,2020-05-03,69.0,2020-05-11
20127,TA Mwase,mw,3,Kasungu,Central,,196.59212006766396,27.0,2020-03-30,29.0,2020-04-01,33.0,2020-04-05,35.0,2020-04-07,38.0,2020-04-10,41.0,2020-04-13,44.0,2020-04-16,48.0,2020-04-20,55.0,2020-04-27
20128,Kasungu National Park,mw,3,Kasungu,Central,,2354.339791889233,40.0,2020-04-12,43.0,2020-04-15,46.0,2020-04-18,49.0,2020-04-21,54.0,2020-04-26,57.0,2020-04-29,61.0,2020-05-03,67.0,2020-05-09,80.0,2020-05-22
20201,TA Kanyenda,mw,3,Nkhotakota,Central,,608.2446994208893,23.0,2020-03-26,26.0,2020-03-29,29.0,2020-04-01,31.0,2020-04-03,34.0,2020-04-06,37.0,2020-04-09,40.0,2020-04-12,44.0,2020-04-16,51.0,2020-04-23
20202,TA Kafuzila,mw,3,Nkhotakota,Central,,569.0572474185685,23.0,2020-03-26,25.0,2020-03-28,28.0,2020-03-31,31.0,2020-04-03,34.0,2020-04-06,37.0,2020-04-09,39.0,2020-04-11,43.0,2020-04-15,51.0,2020-04-23
20203,STA Kalimanjira,mw,3,Nkhotakota,Central,,81.54486880528643,32.0,2020-04-04,35.0,2020-04-07,38.0,2020-04-10,41.0,2020-04-13,45.0,2020-04-17,48.0,2020-04-20,51.0,2020-04-23,56.0,2020-04-28,65.0,2020-05-07
20204,TA Malenga Chanzi,mw,3,Nkhotakota,Central,,237.68661745142714,28.0,2020-03-31,30.0,2020-04-02,33.0,2020-04-05,36.0,2020-04-08,39.0,2020-04-11,42.0,2020-04-14,45.0,2020-04-17,49.0,2020-04-21,57.0,2020-04-29
20205,TA Mphonde,mw,3,Nkhotakota,Central,,180.08822143612548,29.0,2020-04-01,31.0,2020-04-03,34.0,2020-04-06,37.0,2020-04-09,41.0,2020-04-13,44.0,2020-04-16,47.0,2020-04-19,52.0,2020-04-24,60.0,2020-05-02
20206,TA Mwadzama,mw,3,Nkhotakota,Central,,636.5020103593814,28.0,2020-03-31,31.0,2020-04-03,34.0,2020-04-06,36.0,2020-04-08,39.0,2020-04-11,42.0,2020-04-14,45.0,2020-04-17,48.0,2020-04-20,55.0,2020-04-27
