adm_id,name,country,level,adm2,adm1,city,adm_area,day_n1,date_n1,day_n2,date_n2,day_n5,date_n5,day_n10,date_n10,day_n25,date_n25,day_n50,date_n50,day_n100,date_n100,day_n250,date_n250,day_n1000,date_n1000
10312,TA Timbiri,mw,3,Nkhatabay,Northern,,495.4677363439472,14.0,2020-03-17,16.0,2020-03-19,19.0,2020-03-22,22.0,2020-03-25,25.0,2020-03-28,27.0,2020-03-30,30.0,2020-04-02,33.0,2020-04-05,38.0,2020-04-10
10314,TA Boghoyo,mw,3,Nkhatabay,Northern,,22.40661186434706,41.0,2020-04-13,45.0,2020-04-17,52.0,2020-04-24,59.0,2020-05-01,79.0,2020-05-21,,,,,,,,
10320,Nkhatabay Boma,mw,3,Nkhatabay,Northern,,12.45307021625928,18.0,2020-03-21,20.0,2020-03-23,23.0,2020-03-26,26.0,2020-03-29,29.0,2020-04-01,31.0,2020-04-03,34.0,2020-04-06,37.0,2020-04-09,43.0,2020-04-15
10401,TA Chikulamayembe,mw,3,Rumphi,Northern,,686.5223185615263,17.0,2020-03-20,19.0,2020-03-22,23.0,2020-03-26,25.0,2020-03-28,28.0,2020-03-31,31.0,2020-04-03,33.0,2020-04-05,36.0,2020-04-08,42.0,2020-04-14
10402,TA Mwamlowe,mw,3,Rumphi,Northern,,118.78745651636655,26.0,2020-03-29,28.0,2020-03-31,31.0,2020-04-03,34.0,2020-04-06,37.0,2020-04-09,40.0,2020-04-12,42.0,2020-04-14,46.0,2020-04-18,54.0,2020-04-26
10403,TA Mwahenga,mw,3,Rumphi,Northern,,138.41817565966653,20.0,2020-03-23,22.0,2020-03-25,26.0,2020-03-29,28.0,2020-03-31,31.0,2020-04-03,34.0,2020-04-06,36.0,2020-04-08,40.0,2020-04-12,45.0,2020-04-17
10404,TA Mwalweni,mw,3,Rumphi,Northern,,260.8029537726162,17.0,2020-03-20,20.0,2020-03-23,23.0,2020-03-26,25.0,2020-03-28,28.0,2020-03-31,31.0,2020-04-03,33.0,2020-04-05,37.0,2020-04-09,42.0,2020-04-14
10405,STA Kachulu,mw,3,Rumphi,Northern,,132.5323069718144,20.0,2020-03-23,23.0,2020-03-26,26.0,2020-03-29,28.0,2020-03-31,31.0,2020-04-03,34.0,2020-04-06,36.0,2020-04-08,40.0,2020-04-12,45.0,2020-04-17
10406,STA Chapinduka,mw,3,Rumphi,Northern,,107.31363842478318,29.0,2020-04-01,31.0,2020-04-03,34.0,2020-04-06,37.0,2020-04-09,40.0,2020-04-12,43.0,2020-04-15,46.0,2020-04-18,50.0,2020-04-22,58.0,2020-04-30
10407,TA Mwankhunikira,mw,3,Rumphi,Northern,,424.4861246567511,19.0,2020-03-22,22.0,2020-03-25,25.0,2020-03-28,27.0,2020-03-30,31.0,2020-04-03,33.0,2020-04-05,36.0,2020-04-08,39.0,2020-04-11,45.0,2020-04-17
10408,TA Katumbi,mw,3,Rumphi,Northern,,111.16829211488638,27.0,2020-03-30,29.0,2020-04-01,33.0,2020-04-05,35.0,2020-04-07,39.0,2020-04-11,41.0,2020-04-13,44.0,2020-04-16,49.0,2020-04-21,58.0,2020-04-30
10409,STA Zolokere,mw,3,Rumphi,Northern,,71.80854130272292,31.0,2020-04-03,33.0,2020-04-05,37.0,2020-04-09,39.0,2020-04-11,43.0,2020-04-15,46.0,2020-04-18,50.0,2020-04-22,56.0,2020-04-28,68.0,2020-05-10
