ADM3_PCODE,first_case_date,source,ADM2_PCODE,ADM3_EN,ADM2_EN
MW10407,2020-05-10,MW107,MW104,SC Mwankhunikira,Rumphi
MW10408,2020-05-15,MW107,MW104,TA Katumbi,Rumphi
MW10409,2020-05-15,MW107,MW104,TA Zolokere,Rumphi
MW10420,2020-05-10,MW107,MW104,Rumphi Boma,Rumphi
MW10501,2020-05-01,MW20204,MW105,TA M'Mbelwa,Mzimba
MW10502,2020-05-05,MW107,MW105,TA Mtwalo,Mzimba
MW10503,2020-05-01,MW20204,MW105,SC Kampingo Sibande,Mzimba
MW10504,2020-05-10,MW107,MW105,SC Jaravikuba Munthali,Mzimba
MW10505,2020-05-06,MW20204,MW105,TA Chindi,Mzimba
MW10506,2020-04-26,MW20204,MW105,TA Mzikubola,Mzimba
MW10507,2020-04-26,MW20204,MW105,TA Mabulabo,Mzimba
MW10508,2020-04-21,MW20204,MW105,SC Khosolo Gwaza Jere,Mzimba
MW10509,2020-05-10,MW107,MW105,TA Mpherembe,Mzimba
MW10510,2020-05-01,MW20204,MW105,TA Mzukuzuku,Mzimba
MW10520,2020-05-01,MW20204,MW105,Mzimba Boma,Mzimba
MW10601,,MW210,MW106,TA Mkumpha,Likoma
MW10620,,MW210,MW106,Likoma Boma,Likoma
MW107,2020-04-30,MW107,MW107,,Mzuzu City
MW20101,2020-06-09,MW20101,MW201,TA Kaluluma,Kasungu
MW20102,2020-04-26,MW20204,MW201,SC Simlemba,Kasungu
MW20103,2020-05-01,MW20204,MW201,SC M'nyanja,Kasungu
MW20104,2020-05-01,MW20204,MW201,SC Chisikwa,Kasungu
MW20105,2020-04-27,MW210,MW201,TA Kaomba,Kasungu
MW20106,2020-04-27,MW210,MW201,SC Lukwa,Kasungu
MW20107,2020-04-22,MW210,MW201,SC Kawamba,Kasungu
MW20108,2020-04-22,MW210,MW201,SC Njombwa,Kasungu
MW20109,2020-04-22,MW210,MW201,SC Chilowamatambe,Kasungu
MW20110,2020-05-02,MW210,MW201,TA Chulu,Kasungu
MW20111,2020-04-17,MW210,MW201,TA Santhe,Kasungu
MW20112,2020-04-26,MW20204,MW201,TA Wimbe,Kasungu
MW20113,2020-04-21,MW20204,MW201,TA Kapelula,Kasungu
MW20114,2020-05-02,MW210,MW201,TA Mwase,Kasungu
MW20120,2020-05-02,MW210,MW201,Kasungu Boma,Kasungu
MW20201,2020-04-16,MW20204,MW202,TA Kanyenda,Nkhotakota
MW20202,2020-04-21,MW20204,MW202,SC Kafuzila,Nkhotakota
MW20203,2020-04-16,MW20204,MW202,TA Malenga Chanzi,Nkhotakota
MW20204,2020-04-11,MW20204,MW202,SC Mphonde,Nkhotakota
MW20205,2020-04-21,MW20204,MW202,TA Mwadzama,Nkhotakota
MW20206,2020-04-21,MW20204,MW202,SC Mwansambo,Nkhotakota
MW20220,2020-04-16,MW20204,MW202,Nkhotakota Boma,Nkhotakota
MW20301,2020-04-22,MW210,MW203,TA Kasakula,Ntchisi
MW20302,2020-04-17,MW210,MW203,TA Chikho,Ntchisi
MW20303,2020-04-21,MW20204,MW203,SC Nthondo,Ntchisi
MW20304,2020-04-17,MW210,MW203,TA Kalumo,Ntchisi
MW20305,2020-04-21,MW20204,MW203,SC Chilooko,Ntchisi
MW20320,2020-04-22,MW210,MW203,Ntchisi Boma,Ntchisi
