"","TA","ID","Population","Incidences","Recovered","Deaths","Peak_Hospital","Peak_Crit"
"1","Balaka",2,34766,25519.8094818668,25472.2648729559,47.5446089108758,199.905546635279,32.5278157392744
"2","Balaka",138,189063,93548.2395685911,93205.104323783,343.135244808083,991.177555056671,234.520418513296
"3","Balaka",220,260230,112603.537570276,112186.481912909,417.055657366787,1211.59907000946,283.531876072843
"4","Blantyre",114,59692,40494.7398696891,40353.1578761886,141.581993500534,413.928308951912,96.7047193877011
"5","Blantyre",149,106665,63603.0077726159,63427.1140006681,175.893771947786,624.539079611463,121.377241677387
"6","Blantyre",163,108459,64380.0658603918,64174.0075405132,206.058319878578,668.235252599262,141.782692076295
"7","Blantyre",164,51202,35644.6540363441,35529.3899424162,115.264093927924,342.400117000719,78.4998232758824
"8","Blantyre",169,40760,29332.3143471027,29233.9344536999,98.3798934028286,286.078318425896,66.7383457783355
"9","Blantyre",173,34131,25107.3101027213,25026.7347152671,80.575387454243,241.288677569313,54.4979044835349
"10","Blantyre",176,24477,18619.6224061949,18549.2534667239,70.368939470974,183.019071187957,46.9947096047048
"11","Blantyre",230,90288,56181.8418423117,56000.629612242,181.212230069713,575.851362804994,124.540137896915
"12","Blantyre City",3,979024,191215.820078059,190888.353731278,327.466346780858,1543.70581773091,217.489238882838
"13","Chikwawa",6,10806,8658.46319541276,8637.44805370775,21.0151417050056,69.6226068097233,13.8009584189483
"14","Chikwawa",7,69743,45939.4774040898,45844.2963254829,95.1810786068552,393.603971553509,65.7275704499201
"15","Chikwawa",16,1,1,1,0,0,0
"16","Chikwawa",22,47558,33487.1676469468,33380.0882871181,107.07935982871,325.687946935966,72.887788355586
"17","Chikwawa",113,129546,73035.089041605,72808.5664519115,226.522589693522,724.170612786819,155.629836911988
"18","Chikwawa",157,37372,27195.1564912265,27114.5195514959,80.6369397306304,246.841097367354,54.6748450504736
"19","Chikwawa",177,95673,58689.5038154117,58480.3722621319,209.131553279806,612.92053651864,143.409730419967
"20","Chikwawa",185,40611,29239.2575358563,29151.954597552,87.3029383042509,271.467344661746,59.3289445706128
"21","Chikwawa",214,228307,104653.46790356,104299.431102656,354.036800904327,1073.84774654635,241.370379678431
"22","Chiradzulu",8,3806,3144.2887990299,3136.73465123799,7.55414779191252,24.663786954297,4.82558610363406
"23","Chiradzulu",125,27860,20940.6254099579,20860.1213896591,80.5040202988038,211.157148681286,53.9680818878618
"24","Chiradzulu",137,117760,68303.3112353282,68024.099092133,279.212143195261,782.354966168241,191.490181740818
"25","Chiradzulu",168,86460,54356.6540211172,54171.8014290267,184.852592090486,570.523268710654,127.011780981716
"26","Chiradzulu",194,88254,55216.5465689757,55020.3338646927,196.212704282991,593.422749103144,134.690889917731
"27","Chiradzulu",210,50615,35300.30841473,35162.1650477885,138.143366941543,381.20762012427,93.98464820758
"28","Chiradzulu",218,63598,42647.3709078025,42471.9477989752,175.423108827305,478.103122192826,119.791394149166
"29","Chitipa",9,21215,16330.2440769738,16297.5394936314,32.7045833423993,125.493166599683,21.9826091779682
"30","Chitipa",144,28948,21675.9448013079,21605.9409398351,70.003861472764,198.316756097751,47.0055405192866
"31","Chitipa",200,107405,63924.4085498262,63718.5070740354,205.901475790754,648.357579021143,141.343861146852
"32","Chitipa",205,42023,30117.4449814527,30007.3861085949,110.05887285784,307.893014921653,74.5510160820727
"33","Chitipa",206,29517,22058.3840692118,21983.3151627376,75.0689064742231,204.337461371138,50.3730482350702
"34","Chitipa",222,36875,26877.787895367,26791.6659778888,86.1219174782168,249.422269673373,58.178711536527
"35","Dedza",10,30623,22797.671184249,22755.2499571132,42.4212271357731,178.512342096048,28.9617981100975
"36","Dedza",45,31902,23645.8844494562,23549.4058540068,96.4785954493741,245.695545506272,64.8385655956562
"37","Dedza",47,92925,57418.4045541012,57210.3168397518,208.087714349399,608.078061000608,142.673567216589
