TA_CODE,Cases
MW10101,52.0
MW10102,52.0
MW10103,52.0
MW10104,52.0
MW10105,52.0
MW10106,52.0
MW10107,52.0
MW10108,52.0
MW10109,52.0
MW10110,52.0
MW10120,52.0
MW10201,72.0
MW10202,72.0
MW10203,72.0
MW10204,72.0
MW10205,72.0
MW10206,72.0
MW10220,72.0
MW10301,168.0
MW10302,168.0
MW10303,168.0
MW10304,168.0
MW10305,168.0
MW10306,168.0
MW10307,168.0
MW10308,168.0
MW10309,168.0
MW10310,168.0
MW10311,168.0
MW10312,168.0
MW10314,168.0
MW10320,168.0
MW10401,30.0
MW10402,30.0
MW10403,30.0
MW10404,30.0
MW10405,30.0
MW10406,30.0
MW10407,30.0
MW10408,30.0
MW10409,30.0
MW10410,30.0
MW10411,30.0
MW10412,30.0
MW10413,30.0
MW10420,30.0
MW10501,632.0
MW10502,632.0
MW10503,632.0
MW10504,632.0
MW10505,632.0
MW10506,632.0
MW10507,632.0
MW10508,632.0
MW10509,632.0
MW10510,632.0
MW10511,632.0
MW10512,632.0
MW10520,632.0
MW10601,5.0
MW10620,5.0
MW107,1938.0000000000005
MW20101,43.0
MW20102,43.0
MW20103,43.0
MW20104,43.0
MW20105,43.0
MW20106,43.0
MW20107,43.0
MW20108,43.0
MW20109,43.0
MW20110,43.0
MW20111,43.0
MW20112,43.0
MW20113,43.0
MW20114,43.0
MW20115,43.0
MW20116,43.0
MW20117,43.0
MW20118,43.0
MW20119,43.0
MW20120,43.0
MW20121,43.0
MW20122,43.0
MW20123,43.0
MW20124,43.0
MW20125,43.0
MW20126,43.0
MW20127,43.0
MW20128,43.0
MW20201,40.0
MW20202,40.0
MW20203,40.0
MW20204,40.0
MW20205,40.0
MW20206,40.0
MW20207,40.0
MW20208,40.0
MW20220,40.0
MW20301,2.0
MW20302,2.0
MW20303,2.0
MW20304,2.0
MW20305,2.0
MW20306,2.0
MW20307,2.0
MW20320,2.0
MW20401,65.0
MW20402,65.0
MW20403,65.0
MW20404,65.0
MW20405,65.0
MW20406,65.0
MW20407,65.0
MW20420,65.0
MW20421,65.0
MW20501,44.0
MW20502,44.0
MW20503,44.0
MW20504,44.0
MW20505,44.0
MW20506,44.0
MW20507,44.0
MW20508,44.0
MW20509,44.0
MW20510,44.0
MW20511,44.0
MW20520,44.0
MW20521,44.0
MW20601,1.0
MW20602,1.0
MW20603,1.0
MW20604,1.0
MW20605,1.0
MW20606,1.0
MW20607,1.0
MW20608,1.0
MW20609,1.0
MW20610,1.0
MW20611,1.0
MW20612,1.0
MW20613,1.0
MW20614,1.0
MW20615,1.0
MW20616,1.0
MW20617,1.0
MW20618,1.0
MW20701,51.0
MW20702,51.0
MW20703,51.0
MW20704,51.0
MW20705,51.0
MW20706,51.0
MW20707,51.0
MW20708,51.0
MW20709,51.0
MW20710,51.0
MW20711,51.0
MW20712,51.0
MW20713,51.0
MW20720,51.0
MW20801,34.0
MW20802,34.0
MW20803,34.0
MW20804,34.0
MW20805,34.0
MW20806,34.0
MW20807,34.0
MW20808,34.0
MW20820,34.0
MW20901,42.0
MW20902,42.0
MW20903,42.0
MW20904,42.0
MW20905,42.0
MW20906,42.0
MW20907,42.0
MW20908,42.0
MW20909,42.0
MW20910,42.0
MW20911,42.0
MW20920,42.0
MW210,122.8
MW30101,133.0
MW30102,133.0
MW30103,133.0
MW30104,133.0
MW30105,133.0
MW30106,133.0
MW30107,133.0
MW30108,133.0
MW30109,133.0
MW30110,133.0
MW30111,133.0
MW30112,133.0
MW30113,133.0
MW30114,133.0
MW30120,133.0
MW30121,133.0
MW30199,133.0
MW30201,65.0
MW30202,65.0
MW30203,65.0
MW30204,65.0
MW30205,65.0
MW30206,65.0
MW30207,65.0
MW30208,65.0
MW30209,65.0
MW30210,65.0
MW30211,65.0
MW30212,65.0
MW30213,65.0
MW30214,65.0
MW30215,65.0
MW30216,65.0
MW30217,65.0
MW30220,65.0
MW30221,65.0
MW30301,137.0
MW30302,137.0
MW30303,137.0
MW30304,137.0
MW30305,137.0
MW30306,137.0
MW30307,137.0
MW30308,137.0
MW30309,137.0
MW30310,137.0
MW30311,137.0
MW30401,23.0
MW30402,23.0
MW30403,23.0
MW30404,23.0
MW30405,23.0
MW30406,23.0
MW30407,23.0
MW30408,23.0
MW30409,23.0
MW30420,23.0
MW30501,1.0
MW30502,1.0
MW30503,1.0
MW30504,1.0
MW30505,1.0
MW30506,1.0
MW30507,1.0
MW30508,1.0
MW30601,25.0
MW30602,25.0
MW30603,25.0
MW30604,25.0
MW30620,25.0
MW30701,56.0
MW30702,56.0
MW30703,56.0
MW30704,56.0
MW30705,56.0
MW30706,56.0
MW30707,56.0
MW30708,56.0
MW30709,56.0
MW30710,56.0
MW30711,56.0
MW30712,56.0
MW30713,56.0
MW30714,56.0
MW30720,56.0
MW30721,56.0
MW30801,35.0
MW30802,35.0
MW30803,35.0
MW30804,35.0
MW30805,35.0
MW30806,35.0
MW30807,35.0
MW30808,35.0
MW30809,35.0
MW30820,35.0
MW30901,10.0
MW30902,10.0
MW30903,10.0
MW30904,10.0
MW30905,10.0
MW30906,10.0
MW30920,10.0
MW31001,39.0
MW31002,39.0
MW31003,39.0
MW31004,39.0
MW31005,39.0
MW31006,39.0
MW31007,39.0
MW31008,39.0
MW31009,39.0
MW31010,39.0
MW31011,39.0
MW31012,39.0
MW31013,39.0
MW31020,39.0
MW31021,39.0
MW31101,37.0
MW31102,37.0
MW31103,37.0
MW31104,37.0
MW31105,37.0
MW31106,37.0
MW31107,37.0
MW31108,37.0
MW31109,37.0
MW31110,37.0
MW31120,37.0
MW31201,42.0
MW31202,42.0
MW31203,42.0
MW31204,42.0
MW31205,42.0
MW31206,42.0
MW31207,42.0
MW31208,42.0
MW31209,42.0
MW31210,42.0
MW31220,42.0
MW31221,42.0
MW31301,60.0
MW31302,60.0
MW31303,60.0
MW31304,60.0
MW31320,60.0
MW314,614.6
MW315,215.39999999999998
