DIST_NAME,DIST_CODE,TA_NAME,TA_CODE,population,pct_elderly,pop_density,interpolated_CI,final_score
Dedza,MW208,Dedza Boma,20820,21207.41431,0.3374011287865216,0.8181519421372719,0.12264715855391786,1.2782002294777115
Dedza,MW208,TA Chauma,20805,28442.53432,0.3373937789217405,0.31645547991724177,0.12264715855391786,0.7764964173929001
Dedza,MW208,TA Chilikumwendo,20802,85438.77547000001,0.33717810264747683,0.2804123091942981,0.12264715855391786,0.7402375703956928
Dedza,MW208,TA Kachere,20801,171561.1319,0.33737277392488246,0.15231581973029262,0.12264715855391786,0.612335752209093
Dedza,MW208,TA Kachindamoto,20807,132690.8524,0.33767789960719585,0.14872867760040737,0.12264715855391786,0.6090537357615211
Dedza,MW208,TA Kamenya Gwaza,20808,41126.34887,0.3376722304227282,0.16643537567139108,0.12264715855391786,0.6267547646480371
Dedza,MW208,TA Kaphuka,20803,189123.6042,0.33735979977518804,0.2370148262325592,0.12264715855391786,0.6970217845616651
Dedza,MW208,TA Kasumbu,20806,103358.1577,0.3373769805671038,0.13670992470650947,0.12264715855391786,0.5967340638275311
Dedza,MW208,TA Tambala,20804,83410.48432,0.3373635870866081,0.13524605985321161,0.12264715855391786,0.5952568054937375
Dowa,MW204,Dowa Boma,20420,3362.3278200000004,0.29468379226378477,0.5063057673143334,0.23447250900013708,1.0354620685782554
Dowa,MW204,Mponela Urban,20421,21142.52475,0.2946837921626987,1.591608912839541,0.23447250900013708,2.1207652140023767
Dowa,MW204,TA Chakhaza,20402,175003.7577,0.29420075831789405,0.18256360062531884,0.23447250900013708,0.71123686794335
Dowa,MW204,TA Chiwere,20404,116279.0738,0.2947694310240047,0.17238489759119152,0.23447250900013708,0.7016268376153333
Dowa,MW204,TA Dzoole,20401,118820.5683,0.29473142759820936,0.2566580285715312,0.23447250900013708,0.7858619651698776
Dowa,MW204,TA Kayembe,20403,135495.2168,0.29503648178137115,0.23369110960777448,0.23447250900013708,0.7632001003892827
Dowa,MW204,TA Mkukula,20405,121896.0454,0.2935591318778169,0.237514638600122,0.23447250900013708,0.765546279478076
Dowa,MW204,TA Mponela,20407,53621.16022,0.29468379223300645,0.2510129456906244,0.23447250900013708,0.7801692469237679
Dowa,MW204,TA Msakambewa,20406,98989.70788,0.29468555848366795,0.17751461599056778,0.23447250900013708,0.7066726834743728
Kasungu,MW201,Kasungu Boma,20120,57112.73785,0.23309735083996172,1.1860789539933714,0.15511258287701377,1.5742888877103467
Kasungu,MW201,Kasungu National Park,20128,1950.153136,0.2330973509111039,0.0006467604121737942,0.15511258287701377,0.38885669420029145
Kasungu,MW201,STA Chaima,20115,28125.76182,0.23322186026696665,0.09221622523533056,0.15511258287701377,0.48055066837931093
Kasungu,MW201,STA Chambwe,20111,13734.680330000001,0.23700965411413638,0.13229152366284627,0.15511258287701377,0.5244137606539965
Kasungu,MW201,STA Chisikwa,20105,8239.972683,0.2330973509392744,0.14435718840615436,0.15511258287701377,0.5325671222224425
Kasungu,MW201,STA Chisinga,20113,22969.62205,0.23309735093153106,0.11581016941744664,0.15511258287701377,0.5040201032259914
Kasungu,MW201,STA Kapichira,20125,9358.493633,0.2340606644986052,0.14844236642106806,0.15511258287701377,0.537615613796687
